id,url
1,https://publications.parliament.uk/pa/cm201011/cmhansrd/cm110711/debtext/110711-0003.htm#11071139000477
2,https://publications.parliament.uk/pa/cm201011/cmhansrd/cm110308/debtext/110308-0002.htm#11030887000050
3,https://publications.parliament.uk/pa/cm201011/cmhansrd/cm110524/debtext/110524-0002.htm#11052459001586
4,https://publications.parliament.uk/pa/cm201011/cmhansrd/cm111024/debtext/111024-0002.htm#1110247000886
5,https://publications.parliament.uk/pa/cm201011/cmhansrd/cm110331/debtext/110331-0004.htm#11033156003533
6,https://publications.parliament.uk/pa/cm201011/cmhansrd/cm110301/debtext/110301-0002.htm#11030160000165
7,https://publications.parliament.uk/pa/cm201011/cmhansrd/cm110427/debtext/110427-0004.htm#11042792000510
8,https://publications.parliament.uk/pa/cm201011/cmhansrd/cm111206/debtext/111206-0003.htm#11120671000096
9,https://publications.parliament.uk/pa/cm201213/cmhansrd/cm120702/debtext/120702-0001.htm#12070210000788
10,https://publications.parliament.uk/pa/cm201213/cmhansrd/cm121026/debtext/121026-0002.htm#12102627000826
11,https://publications.parliament.uk/pa/cm201213/cmhansrd/cm120910/debtext/120910-0003.htm#12091035000134
12,https://publications.parliament.uk/pa/cm201213/cmhansrd/cm121220/debtext/121220-0001.htm#12122052000923
13,https://publications.parliament.uk/pa/cm201213/cmhansrd/cm130325/debtext/130325-0001.htm#13032510000501
14,https://publications.parliament.uk/pa/cm201213/cmhansrd/cm121127/debtext/121127-0001.htm#12112789000541
15,https://publications.parliament.uk/pa/cm201213/cmhansrd/cm121015/debtext/121015-0001.htm#1210154000676
16,https://publications.parliament.uk/pa/cm201213/cmhansrd/cm120903/debtext/120903-0001.htm#1209038000569
17,https://publications.parliament.uk/pa/cm201314/cmhansrd/cm140203/debtext/140203-0001.htm#14020325000370
18,https://publications.parliament.uk/pa/cm201314/cmhansrd/cm130909/debtext/130909-0001.htm#13090914000758
19,https://publications.parliament.uk/pa/cm201314/cmhansrd/cm140429/debtext/140429-0001.htm#14042948000455
20,https://publications.parliament.uk/pa/cm201314/cmhansrd/cm140331/debtext/140331-0001.htm#1403311000466
21,https://publications.parliament.uk/pa/cm201314/cmhansrd/cm140224/debtext/140224-0001.htm#1402248000577
22,https://publications.parliament.uk/pa/cm201314/cmhansrd/cm131031/debtext/131031-0001.htm#13103165001018
23,https://publications.parliament.uk/pa/cm201314/cmhansrd/cm140225/debtext/140225-0002.htm#14022578000406
24,https://publications.parliament.uk/pa/cm201213/cmhansrd/cm120621/debtext/120621-0002.htm#12062137000826
25,https://publications.parliament.uk/pa/cm201415/cmhansrd/cm140901/debtext/140901-0002.htm#14090111000089
26,https://publications.parliament.uk/pa/cm201415/cmhansrd/cm140901/debtext/140901-0002.htm#14090111000089
27,https://publications.parliament.uk/pa/cm201415/cmhansrd/cm140901/debtext/140901-0002.htm#14090111000089
28,https://publications.parliament.uk/pa/cm201415/cmhansrd/cm140901/debtext/140901-0002.htm#14090111000089
29,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm150601/debtext/150601-0001.htm#1506013000482
30,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm160322/debtext/160322-0002.htm#16032240000289
31,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm160317/debtext/160317-0002.htm#16031726000794
32,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm160317/debtext/160317-0002.htm#16031726000794
33,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm160105/halltext/160105h0001.htm#1601056000327
34,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm160105/halltext/160105h0001.htm#1601056000327
35,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm151110/debtext/151110-0001.htm#15111034001651
36,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm160225/debtext/160225-0002.htm#16022537001068
37,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm160222/debtext/160222-0002.htm#16022210000608
38,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm160301/debtext/160301-0001.htm#16030133000316
39,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm151208/debtext/151208-0002.htm#15120843002227
40,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm150907/debtext/150907-0003.htm#15090723000188
41,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm150907/debtext/150907-0003.htm#15090723000188
42,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm150616/debtext/150616-0002.htm#15061658001134
43,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm150609/debtext/150609-0003.htm#15060939001068
44,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm151013/debtext/151013-0002.htm#15101362000731
45,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm160307/halltext/160307h0001.htm#16030714000225
46,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm160202/debtext/160202-0001.htm#16020258000207
47,https://publications.parliament.uk/pa/cm201516/cmhansrd/cm150915/debtext/150915-0001.htm#15091543000477